,ID_entrada,ID_habitat,satisfaccion
359,192.0,H012,2.0
360,193.0,H011,NULL
361,193.0,H003,3.0
362,193.0,H001,2.0
363,194.0,H011,5.0
364,196.0,H006,3.0
365,196.0,H002,1.0
366,197.0,H005,4.0
367,197.0,H015,3.0
368,198.0,H005,2.0
369,198.0,H018,1.0
370,198.0,H002,NULL
371,198.0,NULL,1.0
372,NULL,H001,5.0
373,NULL,H012,1.0
374,NULL,H007,2.0
375,NULL,H008,2.0
376,NULL,H002,1.0
377,NULL,H011,1.0
378,NULL,H012,2.0
379,NULL,H015,4.0
380,NULL,H017,4.0
381,NULL,H007,2.0
382,NULL,H002,1.0
383,NULL,NULL,2.0
384,NULL,H018,2.0
385,NULL,H002,4.0
386,NULL,H018,5.0
387,NULL,H002,5.0
388,NULL,H007,4.0
389,NULL,H018,5.0
390,NULL,H018,2.0
391,NULL,H007,5.0
392,NULL,H003,5.0
393,NULL,H004,3.0
394,NULL,H017,3.0
395,NULL,NULL,NULL
396,NULL,H011,5.0
397,NULL,H011,2.0
398,NULL,H018,4.0
399,NULL,H003,3.0
